"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SUANOTA";"APP_DEVICE";1;"ID_DEVICE";"NUMBER";22;"N";0;5;489281;0;0,00000204381531267309;"NO";1;"Sequencial da tabela";"APPDEVI_PK (PRIMARY KEY, ENABLED); SYS_C00247389 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";2;"NM_SO_DEVICE";"VARCHAR2";200;"N";;8;5;0;0,2;"NO";1;"Nome sistema operacional do device do usuário";"SYS_C00247390 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";3;"NU_SO_VERSAO";"VARCHAR2";20;"N";;4;158;0;0,00632911392405063;"NO";1;"Versão do sistema operacional do device do usuário";"SYS_C00247391 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";4;"NM_MARCA_DEVICE";"VARCHAR2";200;"N";;8;164;0;0,00609756097560976;"NO";1;"Nome da marca do device do usuário";"SYS_C00247392 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";5;"NM_MODELO_DEVICE";"VARCHAR2";200;"N";;11;2558;0;0,000390930414386239;"NO";1;"Nome do modelo do device do usuário";"SYS_C00247393 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";6;"NU_UUID_DEVICE";"VARCHAR2";36;"N";;22;489281;0;0,00000204381531267309;"NO";1;"Número do UUID(Identificador único do dispositivo) do device do usuário";"SYS_C00247394 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";7;"CD_USUARIO_INCLUSAO";"VARCHAR2";250;"N";;13;1;0;1;"NO";1;"Código do usuário que incluiu o registro na tabela";"SYS_C00247395 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";8;"TM_INCLUSAO";"DATE";7;"N";;8;481472;0;0,00000207696397713678;"NO";1;"Data/Hora de inclusão do registro na tabela";"SYS_C00247396 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE";9;"CD_USUARIO_ALTERACAO";"VARCHAR2";250;"Y";;0;0;489281;0;"NO";0;"Código do usuário que alterou o registro na tabela";" (, )"
"SUANOTA";"APP_DEVICE";10;"TM_ALTERACAO";"DATE";7;"Y";;1;0;489281;0;"NO";0;"Data/Hora de alteração do registro na tabela";" (, )"
